resembles a soft porn brian de palma pastiche,safe conduct however ambitious and well-intentioned fails to hit the entertainment bull's-eye,0
a few hours after you've seen it you forget you've been to the movies,ultimately the film amounts to being lectured to by tech-geeks if you're up for that sort of thing,0
unfortunately contrived plotting stereotyped characters and woo's over-the-top instincts as a director undermine the moral dilemma at the movie's heart,a peculiar misfire that even tunney can't save,0
the actresses may have worked up a back story for the women they portray so convincingly but viewers don't get enough of that background for the characters to be involving as individuals rather than types,gibney and jarecki just want to string the bastard up,0
i hate this movie,i hate this movie,1
this is the case of a pregnant premise being wasted by a script that takes few chances and manages to insult the intelligence of everyone in the audience,this is the case of a pregnant premise being wasted by a script that takes few chances and manages to insult the intelligence of everyone in the audience,1
when you find yourself rooting for the monsters in a horror movie you know the picture is in trouble,the movie obviously seeks to re-create the excitement of such '50s flicks as jules verne's '20 000 leagues under the sea' and the george pal version of h g wells' 'the time machine ' but its storytelling prowess and special effects are both listless,0
cherry orchard is badly edited often awkwardly directed and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a 'back story ',cherry orchard is badly edited often awkwardly directed and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a 'back story ',1
this sort of cute and cloying material is far from zhang's forte and it shows,zigzag might have been richer and more observant if it were less densely plotted,0
think of it as american pie on valium,several uninteresting unlikeable people do bad things to and with each other in " unfaithful " why anyone who is not a character in this movie should care is beyond me,0
an unsophisticated sci-fi drama that takes itself all too seriously,an unsophisticated sci-fi drama that takes itself all too seriously,1
[a] rather thinly-conceived movie,[a] rather thinly-conceived movie,1
the waterlogged script plumbs uncharted depths of stupidity incoherence and sub-sophomoric sexual banter,blue crush has all the trappings of an energetic extreme-sports adventure but ends up more of a creaky " pretty woman " retread with the emphasis on self-empowering schmaltz and big-wave surfing that gives pic its title an afterthought,0
rambles on in a disjointed substandard fashion from one poorly executed action sequence to the next,rambles on in a disjointed substandard fashion from one poorly executed action sequence to the next,1
it's supposed to be a humorous all-too-human look at how hope can breed a certain kind of madness -- and strength -- but it never quite adds up,it's supposed to be a humorous all-too-human look at how hope can breed a certain kind of madness -- and strength -- but it never quite adds up,1
if you're just in the mood for a fun -- but bad -- movie you might want to catch freaks as a matinee,i've always dreamed of attending cannes but after seeing this film it's not that big a deal,0
kung pow seems like some futile concoction that was developed hastily after oedekerk and his fellow moviemakers got through crashing a college keg party,white hasn't developed characters so much as caricatures one-dimensional buffoons that get him a few laughs but nothing else,0
made me feel uneasy even queasy because [solondz's] cool compassion is on the border of bemused contempt,it's just hard to believe that a life like this can sound so dull,0
your taste for jonah - a veggie tales movie may well depend on your threshold for pop manifestations of the holy spirit,your taste for jonah - a veggie tales movie may well depend on your threshold for pop manifestations of the holy spirit,1
the film apparently takes place in a fantasy world where people in hotel hallways recite poetry in voice-over instead of speaking to each other,very special effects brilliantly bold colors and heightened reality can't hide the giant achilles' heel in " stuart little 2 " : there's just no story folks,0
too much of the movie feels contrived as if the filmmakers were worried the story wouldn't work without all those gimmicks,the essential problem in orange county is that having created an unusually vivid set of characters worthy of its strong cast the film flounders when it comes to giving them something to do,0
feels like a cold old man going through the motions,feels like a cold old man going through the motions,1
lazy filmmaking with the director taking a hands-off approach when he should have shaped the story to show us why it's compelling,lazy filmmaking with the director taking a hands-off approach when he should have shaped the story to show us why it's compelling,1
the angst-ridden affluent slacker characters are more grating than engaging,consists of a plot and jokes done too often by people far more talented than ali g,0
as social exposé skins has its heart in the right place but that's not much to hang a soap opera on,a turgid little history lesson humourless and dull,0
it's a loathsome movie it really is and it makes absolutely no sense,it's a loathsome movie it really is and it makes absolutely no sense,1
enduring love but exhausting cinema,a clutchy indulgent and pretentious travelogue and diatribe against well just stuff watching scarlet diva one is poised for titillation raw insight or both instead we just get messy anger a movie as personal therapy,0
the film takes the materials of human tragedy and dresses them in lovely costumes southern california locations and star power,during the tuxedo's 90 minutes of screen time there isn't one true 'chan moment',0
it stars schticky chris rock and stolid anthony hopkins who seem barely in the same movie their contrast is neither dramatic nor comic -- it's just a weird fizzle,any movie this boring should be required to have ushers in the theater that hand you a cup of coffee every few minutes like a marathon runner trying to finish a race you need a constant influx of liquid just to get through it,0
barney throws away the goodwill the first half of his movie generates by orchestrating a finale that is impenetrable and dull,makes for some truly odd at times confusing kids entertainment but at least this time there's some centered storytelling to go along with all the weird stuff,0
shows that jackie chan is getting older and that's something i would rather live in denial about,shows that jackie chan is getting older and that's something i would rather live in denial about,1
the most anti-human big studio picture since 3000 miles to graceland,its audacious ambitions sabotaged by pomposity steven soderbergh's space opera emerges as a numbingly dull experience,0
in both the writing and cutting it does not achieve the kind of dramatic unity that transports you you end up simply admiring this bit or that this performance or that,there's not enough here to justify the almost two hours,0
not so much farcical as sour,cry havoc and let slip the dogs of cheese indeed,0
seemingly disgusted with the lazy material and the finished product's unshapely look director fisher stevens inexplicably dips key moments from the film in waking life water colors,it comes off as so silly that you wouldn't be surprised if ba murdock and rest of the a-team were seen giving chase in a black and red van,0
somehow we're meant to buy that this doting mother would shun her kids travel to one of the most dangerous parts of the world don fatigues and become g i jane,i'm not exactly sure what this movie thinks it is about,0
all ends well sort of but the frenzied comic moments never click,the film boasts at least a few good ideas and features some decent performances but the result is disappointing,0
a feeble tootsie knockoff,there's no getting around the fact that this is revenge of the nerds revisited -- again,0
some episodes work some don't,the film is way too full of itself ; it's stuffy and pretentious in a give-me-an-oscar kind of way,0
a feature-length r-rated road-trip version of mama's family,the movie quickly drags on becoming boring and predictable i tried to read the time on my watch,0
if you adored the full monty so resoundingly that you're dying to see the same old thing in a tired old setting then this should keep you reasonably entertained,if you adored the full monty so resoundingly that you're dying to see the same old thing in a tired old setting then this should keep you reasonably entertained,1
i couldn't help but feel the wasted potential of this slapstick comedy,a plodding look at the french revolution through the eyes of aristocrats,0
what the audience feels is exhaustion from watching a movie that is dark ( dark green to be exact ) sour bloody and mean,if kaufman kept cameron diaz a prisoner in a cage with her ape in his latest he'd have them mate,0
a determined ennui-hobbled slog that really doesn't have much to say beyond the news flash that loneliness can make people act weird,a determined ennui-hobbled slog that really doesn't have much to say beyond the news flash that loneliness can make people act weird,1
i believe silberling had the best intentions here but he just doesn't have the restraint to fully realize them,i believe silberling had the best intentions here but he just doesn't have the restraint to fully realize them,1
there's no excuse for following up a delightful well-crafted family film with a computer-generated cold fish,there's no excuse for following up a delightful well-crafted family film with a computer-generated cold fish,1
this is surely one of the most frantic virulent and foul-natured christmas season pics ever delivered by a hollywood studio,this is surely one of the most frantic virulent and foul-natured christmas season pics ever delivered by a hollywood studio,1
mark wahlberg may look classy in a '60s-homage pokepie hat but as a character he's dry dry dry,coupling disgracefully written dialogue with flailing bodily movements that substitute for acting circuit is the awkwardly paced soap opera-ish story,0
there's not enough to sustain the comedy,there's not enough to sustain the comedy,1
there's something deeply creepy about never again a new arrow in schaeffer's quiver of ineptitudes,handsome and sincere but slightly awkward in its combination of entertainment and evangelical boosterism,0
uneasy mishmash of styles and genres,uneasy mishmash of styles and genres,1
not even the hanson brothers can save it,not even the hanson brothers can save it,1
must-see viewing for anyone involved in the high-tech industry others may find it migraine-inducing despite moore's attempts at whimsy and spoon feeding,must-see viewing for anyone involved in the high-tech industry others may find it migraine-inducing despite moore's attempts at whimsy and spoon feeding,1
nothing more than a run-of-the-mill action flick,even if the enticing prospect of a lot of nubile young actors in a film about campus depravity didn't fade amid the deliberate tiresome ugliness it would be rendered tedious by avary's failure to construct a story with even a trace of dramatic interest,0
you can practically smell the patchouli oil,you can practically smell the patchouli oil,1
the streets shot by cinematographer michael ballhaus may be as authentic as they are mean but it is nearly impossible to care about what happens on them,the streets shot by cinematographer michael ballhaus may be as authentic as they are mean but it is nearly impossible to care about what happens on them,1
that frenetic spectacle [on the tv show] has usually been leavened by a charm that's conspicuously missing from the girls' big-screen blowout,that frenetic spectacle [on the tv show] has usually been leavened by a charm that's conspicuously missing from the girls' big-screen blowout,1
it's pretentious in a way that verges on the amateurish,there's only one way to kill michael myers for good : stop buying tickets to these movies,0
a technically well-made suspenser but its abrupt drop in iq points as it races to the finish line proves simply too discouraging to let slide,the plot combines the blues brothers and almost famous ( but with bears and a g rating ) with an excruciating dollop of disney sentimentality mixed in for good measure,0
creepy but ultimately unsatisfying thriller,a movie version of a paint-by-numbers picture we can tell what it is supposed to be but can't really call it a work of art,0
there is an almost poignant dimension to the way that every major stunt seagal's character performs is shot from behind as if it could fool us into thinking that we're not watching a double,there is an almost poignant dimension to the way that every major stunt seagal's character performs is shot from behind as if it could fool us into thinking that we're not watching a double,1
the film is surprisingly well-directed by brett ratner who keeps things moving well -- at least until the problematic third act,the film is surprisingly well-directed by brett ratner who keeps things moving well -- at least until the problematic third act,1
often silly – and gross – but it's rarely as moronic as some campus gross-out films,the script is high on squaddie banter low on shocks,0
really dumb but occasionally really funny,while obviously an extremely personal work it remains inextricably stuck in an emotionally unavailable rut,0
a movie that's held captive by mediocrity not bad but not all that good bacon keeps things interesting but don't go out of your way to pay full price,a movie that's held captive by mediocrity not bad but not all that good bacon keeps things interesting but don't go out of your way to pay full price,1
plays like somebody spliced random moments of a chris rock routine into what is otherwise a cliche-riddled but self-serious spy thriller,i'm sure the filmmaker would disagree but honestly i don't see the point it's a visual rorschach test and i must have failed,0
an often-deadly boring strange reading of a classic whose witty dialogue is treated with a baffling casual approach,the inevitable double- and triple-crosses arise but the only drama is in waiting to hear how john malkovich's reedy consigliere will pronounce his next line,0
despite the surface attractions -- conrad l hall's cinematography will likely be nominated for an oscar next year -- there's something impressive and yet lacking about everything,despite the surface attractions -- conrad l hall's cinematography will likely be nominated for an oscar next year -- there's something impressive and yet lacking about everything,1
loud chaotic and largely unfunny,loud chaotic and largely unfunny,1
the unceasing sadism is so graphically excessive the director just ends up exposing his own obsession,the unceasing sadism is so graphically excessive the director just ends up exposing his own obsession,1
ponderous plodding soap opera disguised as a feature film,ponderous plodding soap opera disguised as a feature film,1
lurid and less than lucid work,lurid and less than lucid work,1
wouldn't it be funny if a bunch of allied soldiers went undercover as women in a german factory during world war ii ? um no but here's a movie about it anyway,wouldn't it be funny if a bunch of allied soldiers went undercover as women in a german factory during world war ii ? um no but here's a movie about it anyway,1
the jokes are flat and the action looks fake,it's a film with an idea buried somewhere inside its fabric but never clearly seen or felt,0
one of those films where the characters inhabit that special annex of hell where adults behave like kids children behave like adults and everyone screams at the top of their lungs no matter what the situation,one of those films where the characters inhabit that special annex of hell where adults behave like kids children behave like adults and everyone screams at the top of their lungs no matter what the situation,1
like being invited to a classy dinner soiree and not knowing anyone you leave the same way you came -- a few tasty morsels under your belt but no new friends,like the excruciating end of days collateral damage presents schwarzenegger as a tragic figure but sympathy really belongs with any viewer forced to watch him try out so many complicated facial expressions,0
very special effects brilliantly bold colors and heightened reality can't hide the giant achilles' heel in " stuart little 2 " : there's just no story folks,the whole thing plays like a tired tyco ad,0
kirshner and monroe seem to be in a contest to see who can out-bad-act the other ( kirshner wins but it's close ),kirshner and monroe seem to be in a contest to see who can out-bad-act the other ( kirshner wins but it's close ),1
the pacing is glacial the screenplay is stiff as a board and things heat up only in the movie's final scenes,spy-vs -spy action flick with antonio banderas and lucy liu never comes together,0
stitch is a bad mannered ugly and destructive little * * * * no cute factor here… not that i mind ugly ; the problem is he has no character loveable or otherwise,stitch is a bad mannered ugly and destructive little * * * * no cute factor here… not that i mind ugly ; the problem is he has no character loveable or otherwise,1
truth to tell if you've seen more than half-a-dozen horror films there's nothing here you haven't seen before,irritating soul-searching garbage,0
the main characters are simply named the husband the wife and the kidnapper emphasizing the disappointingly generic nature of the entire effort,the main characters are simply named the husband the wife and the kidnapper emphasizing the disappointingly generic nature of the entire effort,1
the sum of all fears is remarkably fuddled about motives and context which drains it of the dramatic substance that would shake us in our boots ( or cinema seats ),the exclamation point seems to be the only bit of glee you'll find in this dreary mess,0
confusion is one of my least favourite emotions especially when i have to put up with 146 minutes of it,despite its raucous intent xxx is as conventional as a nike ad and as rebellious as spring break,0
as it stands crocodile hunter has the hurried badly cobbled look of the 1959 godzilla which combined scenes of a japanese monster flick with canned shots of raymond burr commenting on the monster's path of destruction,as it stands crocodile hunter has the hurried badly cobbled look of the 1959 godzilla which combined scenes of a japanese monster flick with canned shots of raymond burr commenting on the monster's path of destruction,1
it's a film that hinges on its casting and glover really doesn't fit the part,it's a film that hinges on its casting and glover really doesn't fit the part,1
when mr hundert tells us in his narration that 'this is a story without surprises ' we nod in agreement,when mr hundert tells us in his narration that 'this is a story without surprises ' we nod in agreement,1
the film is really closer to porn than a serious critique of what's wrong with this increasingly pervasive aspect of gay culture,plays like some corny television production from a bygone era,0
the film's final hour where nearly all the previous unseen material resides is unconvincing soap opera that tornatore was right to cut,the film's final hour where nearly all the previous unseen material resides is unconvincing soap opera that tornatore was right to cut,1
the average local news columnist has a bigger rant on the war between modern landscape architecture and small-town america,the average local news columnist has a bigger rant on the war between modern landscape architecture and small-town america,1
chen films the resolutely downbeat smokers only with every indulgent indie trick in the book,a by-the-numbers patient/doctor pic that covers all the usual ground,0
de niro and mcdormand give solid performances but their screen time is sabotaged by the story's inability to create interest,de niro and mcdormand give solid performances but their screen time is sabotaged by the story's inability to create interest,1
involves two mysteries -- one it gives away and the other featuring such badly drawn characters that its outcome hardly matters,for every articulate player such as skateboarder tony hawk or bmx rider mat hoffman are about a half dozen young turks angling to see how many times they can work the words " radical " or " suck " into a sentence,0
the period -- swinging london in the time of the mods and the rockers -- gets the once-over once again in gangster no 1 but falls apart long before the end,deep down i realized the harsh reality of my situation : i would leave the theater with a lower i q than when i had entered,0
every conceivable mistake a director could make in filming opera has been perpetrated here,the story really has no place to go since simone is not real—she can't provide any conflict,0
very much a home video and so devoid of artifice and purpose that it appears not to have been edited at all,characters wander into predictably treacherous situations even though they should know better,0
a few energetic stunt sequences briefly enliven the film but the wheezing terrorist subplot hasn't the stamina for the 100-minute running time and the protagonists' bohemian boorishness mars the spirit of good clean fun,adam sandler's 8 crazy nights is 75 wasted minutes of sandler as the voice-over hero in columbia pictures' perverse idea of an animated holiday movie,0
if oscar had a category called best bad film you thought was going to be really awful but wasn't guys would probably be duking it out with the queen of the damned for the honor,if oscar had a category called best bad film you thought was going to be really awful but wasn't guys would probably be duking it out with the queen of the damned for the honor,1
richard pryor mined his personal horrors and came up with a treasure chest of material but lawrence gives us mostly fool's gold,involving at times but lapses quite casually into the absurd,0
there's surely something wrong with a comedy where the only belly laughs come from the selection of outtakes tacked onto the end credits,though ganesh is successful in a midlevel sort of way there's nothing so striking or fascinating or metaphorically significant about his career as to rate two hours of our attention,0
ultimately the film never recovers from the clumsy cliché of the ugly american abroad and the too-frosty exterior ms paltrow employs to authenticate her british persona is another liability,the emotional overload of female angst irreparably drags the film down,0
i weep for the future when a good portion of the respected critical community in this country consider blue crush to be an intelligent film about young women,a movie in which laughter and self-exploitation merge into jolly soft-porn 'empowerment ',0
[e]ventually every idea in this film is flushed down the latrine of heroism,there are some fairly unsettling scenes but they never succeed in really rattling the viewer,0
it's so laddish and juvenile only teenage boys could possibly find it funny,the innocence of holiday cheer ain't what it used to be,0
avary's film never quite emerges from the shadow of ellis' book,a movie that quite simply shouldn't have been made,0
i still can't relate to stuart : he's a mouse for cryin' out loud and all he does is milk it with despondent eyes and whine that nobody treats him human enough,the screenplay by james eric james horton and director peter o'fallon is so pat it makes your teeth hurt,0
arnold's jump from little screen to big will leave frowns on more than a few faces,arnold's jump from little screen to big will leave frowns on more than a few faces,1
seagal ran out of movies years ago and this is just the proof,seagal ran out of movies years ago and this is just the proof,1
the problem isn't that the movie hits so close to home so much as that it hits close to home while engaging in such silliness as that snake-down-the-throat business and the inevitable shot of schwarzenegger outrunning a fireball,the problem isn't that the movie hits so close to home so much as that it hits close to home while engaging in such silliness as that snake-down-the-throat business and the inevitable shot of schwarzenegger outrunning a fireball,1
while certainly clever in spots this too-long spoofy update of shakespeare's macbeth doesn't sustain a high enough level of invention,it should be interesting it should be poignant it turns out to be affected and boring,0
this u-boat doesn't have a captain,this u-boat doesn't have a captain,1
an ugly pointless stupid movie,an ugly pointless stupid movie,1
an occasionally interesting but mostly repetitive look at a slice of counterculture that might be best forgotten,( it ) highlights not so much the crime lord's messianic bent but spacey's,0
yet another movie which presumes that high school social groups are at war let alone conscious of each other's existence,nothing about it fits,0
ja rule and kurupt should have gotten to rap it would have benefitted the dialogue,ja rule and kurupt should have gotten to rap it would have benefitted the dialogue,1
this is the kind of movie where people who have never picked a lock do so easily after a few tries and become expert fighters after a few weeks,a huge disappointment coming as it does from filmmakers and performers of this calibre,0
directed without the expected flair or imagination by hong kong master john woo windtalkers airs just about every cliche in the war movie compendium across its indulgent two-hour-and-fifteen-minute length,directed without the expected flair or imagination by hong kong master john woo windtalkers airs just about every cliche in the war movie compendium across its indulgent two-hour-and-fifteen-minute length,1
you cannot guess why the cast and crew didn't sign a pact to burn the negative and the script and pretend the whole thing never existed,you cannot guess why the cast and crew didn't sign a pact to burn the negative and the script and pretend the whole thing never existed,1
the editing is chaotic the photography grainy and badly focused the writing unintentionally hilarious the direction unfocused the performances as wooden,it almost plays like solaris but with guns and jokes,0
has the marks of a septuagenarian ; it's a crusty treatment of a clever gimmick,more tiring than anything,0
seems like someone going through the motions,seems like someone going through the motions,1
a lightweight uneven action comedy that freely mingles french japanese and hollywood cultures,by the time the plot grinds itself out in increasingly incoherent fashion you might be wishing for a watch that makes time go faster rather than the other way around,0
the script by vincent r nebrida tries to cram too many ingredients into one small pot,the script by vincent r nebrida tries to cram too many ingredients into one small pot,1
watching it is rather like viewing a long soap opera in which only the first episode was any good,watching it is rather like viewing a long soap opera in which only the first episode was any good,1
perry's good and his is an interesting character but " serving sara " hasn't much more to serve than silly fluff nor is it a romantic comedy,perry's good and his is an interesting character but " serving sara " hasn't much more to serve than silly fluff nor is it a romantic comedy,1
[l]ame and unnecessary,now here's a sadistic bike flick that would have made vittorio de sica proud,0
not really bad so much as distasteful : we need kidnapping suspense dramas right now like we need doomsday thrillers,fails as a dystopian movie as a retooling of fahrenheit 451 and even as a rip-off of the matrix,0
by halfway through this picture i was beginning to hate it and of course feeling guilty for it then miracle of miracles the movie does a flip-flop,by halfway through this picture i was beginning to hate it and of course feeling guilty for it then miracle of miracles the movie does a flip-flop,1
i was feeling this movie until it veered off too far into the exxon zone and left me behind at the station looking for a return ticket to realism,i was feeling this movie until it veered off too far into the exxon zone and left me behind at the station looking for a return ticket to realism,1
roger michell who did an appealing job directing persuasion and notting hill in england gets too artsy in his american debut,a soggy shapeless mess just a dumb excuse for a waterlogged equivalent of a haunted-house movie,0
trouble every day is a success in some sense but it's hard to like a film so cold and dead,trouble every day is a success in some sense but it's hard to like a film so cold and dead,1
one of those so-so films that could have been much better,one of those so-so films that could have been much better,1
yet another genre exercise gangster no 1 is as generic as its title,it feels like an after-school special gussied up with some fancy special effects and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes,0
circuit queens won't learn a thing they'll be too busy cursing the film's strategically placed white sheets,a movie that feels like the pilot episode of a new teen-targeted action tv series,0
the skills of a calculus major at m i t are required to balance all the formulaic equations in the long-winded heist comedy who is cletis tout ?,the skills of a calculus major at m i t are required to balance all the formulaic equations in the long-winded heist comedy who is cletis tout ?,1
it's as sorry a mess as its director's diabolical debut mad cows,not really a thriller so much as a movie for teens to laugh groan and hiss at,0
if it were any more of a turkey it would gobble in dolby digital stereo if nothing else " rollerball " 2002 may go down in cinema history as the only movie ever in which the rest of the cast was outshined by ll cool j,if it were any more of a turkey it would gobble in dolby digital stereo if nothing else " rollerball " 2002 may go down in cinema history as the only movie ever in which the rest of the cast was outshined by ll cool j,1
there's only one way to kill michael myers for good : stop buying tickets to these movies,there's only one way to kill michael myers for good : stop buying tickets to these movies,1
the film has a nearly terminal case of the cutes and it's neither as funny nor as charming as it thinks it is,the film has a nearly terminal case of the cutes and it's neither as funny nor as charming as it thinks it is,1
overall the film feels like a low-budget tv pilot that could not find a buyer to play it on the tube,overall the film feels like a low-budget tv pilot that could not find a buyer to play it on the tube,1
the trouble is its filmmakers run out of clever ideas and visual gags about halfway through,the film's implicit premise is that the faith of the tonga people is in every way inferior to that of john,0
madonna has made herself over so often now there's apparently nothing left to work with sort of like michael jackson's nose,madonna has made herself over so often now there's apparently nothing left to work with sort of like michael jackson's nose,1
what an embarrassment,much of what is meant to be 'inspirational' and 'uplifting' is simply distasteful to audiences not already sharing [the movie's] mindset,0
the whole thing comes off like a particularly amateurish episode of bewitched that takes place during spring break,a smug and convoluted action-comedy that doesn't allow an earnest moment to pass without reminding audiences that it's only a movie,0
watching trouble every day at least if you don't know what's coming is like biting into what looks like a juicy delicious plum on a hot summer day and coming away with your mouth full of rotten pulp and living worms,it's a trifle of a movie with a few laughs surrounding an unremarkable soft center,0
its and pieces of the hot chick are so hilarious and schneider's performance is so fine it's a real shame that so much of the movie -- again as in the animal -- is a slapdash mess,its and pieces of the hot chick are so hilarious and schneider's performance is so fine it's a real shame that so much of the movie -- again as in the animal -- is a slapdash mess,1
unfortunately the experience of actually watching the movie is less compelling than the circumstances of its making,essentially the film is weak on detail and strong on personality,0
" my god i'm behaving like an idiot " yes you are ben kingsley," my god i'm behaving like an idiot " yes you are ben kingsley,1
the predominantly amateur cast is painful to watch so stilted and unconvincing are the performances,the predominantly amateur cast is painful to watch so stilted and unconvincing are the performances,1
a lightweight uneven action comedy that freely mingles french japanese and hollywood cultures,a lightweight uneven action comedy that freely mingles french japanese and hollywood cultures,1
trite banal cliched mostly inoffensive,trite banal cliched mostly inoffensive,1
a little too ponderous to work as shallow entertainment not remotely incisive enough to qualify as drama monsoon wedding serves mostly to whet one's appetite for the bollywood films,a little too ponderous to work as shallow entertainment not remotely incisive enough to qualify as drama monsoon wedding serves mostly to whet one's appetite for the bollywood films,1
the title alone should scare any sane person away,the title alone should scare any sane person away,1
while certainly clever in spots this too-long spoofy update of shakespeare's macbeth doesn't sustain a high enough level of invention,while certainly clever in spots this too-long spoofy update of shakespeare's macbeth doesn't sustain a high enough level of invention,1
not so much funny as aggressively sitcom-cute it's full of throwaway one-liners not-quite jokes and a determined tv amiability that allen personifies,while this one gets off with a good natured warning future lizard endeavors will need to adhere more closely to the laws of laughter,0
kitschy flashy overlong soap opera,kitschy flashy overlong soap opera,1
a somewhat disappointing and meandering saga,it's both sitcomishly predictable and cloying in its attempts to be poignant,0
the jokes are sophomoric stereotypes are sprinkled everywhere and the acting ranges from bad to bodacious,the jokes are sophomoric stereotypes are sprinkled everywhere and the acting ranges from bad to bodacious,1
i am sorry that i was unable to get the full brunt of the comedy,i am sorry that i was unable to get the full brunt of the comedy,1
narratively trouble every day is a plodding mess,narratively trouble every day is a plodding mess,1
confuses its message with an ultimate desire to please and contorting itself into an idea of expectation is the last thing any of these three actresses nor their characters deserve,it's so downbeat and nearly humorless that it becomes a chore to sit through -- despite some first-rate performances by its lead,0
in the end the film feels homogenized and a bit contrived as if we're looking back at a tattered and ugly past with rose-tinted glasses,in the end the film feels homogenized and a bit contrived as if we're looking back at a tattered and ugly past with rose-tinted glasses,1
very stupid and annoying,the noble tradition of men in drag hits an all-time low in sorority boys whose makers apparently believe that women's clothing can cover up any deficiency in acting writing or direction,0
whereas last year's exemplary sexy beast seemed to revitalize the british gangster movie this equally brutal outing merely sustains it,teen movies have really hit the skids,0
feels as if ( there's ) a choke leash around your neck so director nick cassavetes can give it a good hard yank whenever he wants you to feel something,not a stereotype is omitted nor a cliché left unsaid,0
" looking for leonard " just seems to kinda sit in neutral hoping for a stiff wind to blow it uphill or something," looking for leonard " just seems to kinda sit in neutral hoping for a stiff wind to blow it uphill or something,1
it's lost the politics and the social observation and become just another situation romance about a couple of saps stuck in an inarticulate screenplay,it's lost the politics and the social observation and become just another situation romance about a couple of saps stuck in an inarticulate screenplay,1
by the time the surprise ending is revealed interest cannot be revived,meticulously mounted exasperatingly well-behaved film which ticks off kahlo's lifetime milestones with the dutiful precision of a tax accountant,0
[p]artnering murphy with robert de niro for the tv-cops comedy showtime would seem to be surefire casting the catch is that they're stuck with a script that prevents them from firing on all cylinders,[p]artnering murphy with robert de niro for the tv-cops comedy showtime would seem to be surefire casting the catch is that they're stuck with a script that prevents them from firing on all cylinders,1
while the film shuns the glamour or glitz that an american movie might demand scherfig tosses us a romantic scenario that is just as simplistic as a hollywood production,the kind of movie you see because the theater has air conditioning,0
video games are more involving than this mess,may offend viewers not amused by the sick sense of humor,0
there is only so much baked cardboard i need to chew,there is only so much baked cardboard i need to chew,1
in spite of featuring a script credited to no fewer than five writers apparently nobody here bothered to check it twice,not one moment in the enterprise didn't make me want to lie down in a dark room with something cool to my brow,0
the nicest thing that can be said about stealing harvard ( which might have been called freddy gets molested by a dog ) is that it's not as obnoxious as tom green's freddie got fingered,i've never seen ( a remake ) do anything as stomach-turning as the way adam sandler's new movie rapes pillages and incinerates frank capra's classic,0
a culture clash comedy only half as clever as it thinks it is,a characteristically engorged and sloppy coming-of-age movie,0
got some good organic character work lots of obvious political insights and little room for engaging imaginative filmmaking in its nearly 2 1/2-hour dissipated length,got some good organic character work lots of obvious political insights and little room for engaging imaginative filmmaking in its nearly 2 1/2-hour dissipated length,1
no number of fantastic sets extras costumes and spectacular locales can disguise the emptiness at the center of the story,no number of fantastic sets extras costumes and spectacular locales can disguise the emptiness at the center of the story,1
pretension in its own way is a form of bravery for this reason and this reason only -- the power of its own steadfast hoity-toity convictions -- chelsea walls deserves a medal,the worst film of the year,0
director jay russell weighs down his capricious fairy-tale with heavy sentiment and lightweight meaning,director jay russell weighs down his capricious fairy-tale with heavy sentiment and lightweight meaning,1
it's fitting that a movie as artificial and soulless as the country bears owes its genesis to an animatronic display at disneyland,kidman is really the only thing that's worth watching in birthday girl a film by the stage-trained jez butterworth ( mojo ) that serves as yet another example of the sad decline of british comedies in the post-full monty world,0
it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so,it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so,1
kicks off with an inauspicious premise mopes through a dreary tract of virtually plotless meanderings and then ends with a whimper,kicks off with an inauspicious premise mopes through a dreary tract of virtually plotless meanderings and then ends with a whimper,1
all the necessary exposition prevents the picture from rising above your generic sand 'n' sandal adventure,all the necessary exposition prevents the picture from rising above your generic sand 'n' sandal adventure,1
nonsensical dull " cyber-horror " flick is a grim hollow exercise in flat scares and bad acting,nonsensical dull " cyber-horror " flick is a grim hollow exercise in flat scares and bad acting,1
as if drop dead gorgeous wasn't enough this equally derisive clunker is fixated on the spectacle of small-town competition,as if drop dead gorgeous wasn't enough this equally derisive clunker is fixated on the spectacle of small-town competition,1
diane lane shines in unfaithful almost everything else is wan,diane lane shines in unfaithful almost everything else is wan,1
this is a good movie in spurts but when it doesn't work it's at important times,this is a good movie in spurts but when it doesn't work it's at important times,1
a word of advice to the makers of the singles ward : celebrity cameos do not automatically equal laughs and neither do cliches no matter how 'inside' they are,a word of advice to the makers of the singles ward : celebrity cameos do not automatically equal laughs and neither do cliches no matter how 'inside' they are,1
too dull to enjoy,rarely has so much money delivered so little entertainment,0
any film featuring young children threatened by a terrorist bomb can no longer pass as mere entertainment,press the delete key,0
it's so downbeat and nearly humorless that it becomes a chore to sit through -- despite some first-rate performances by its lead,too stagey talky -- and long -- for its own good,0
the movie quickly drags on becoming boring and predictable i tried to read the time on my watch,the movie quickly drags on becoming boring and predictable i tried to read the time on my watch,1
[h]ad i suffered and bled on the hard ground of ia drang i'd want something a bit more complex than we were soldiers to be remembered by,tartakovsky's team has some freakish powers of visual charm but the five writers slip into the modern rut of narrative banality,0
a crisply made movie that is no more than mildly amusing,a crisply made movie that is no more than mildly amusing,1
proves a lovely trifle that unfortunately is a little too in love with its own cuteness,a slow-moving police-procedural thriller that takes its title all too literally,0
